genotype,sample,dpi,cytokine,avg_conc,log10_conc
KO,1,6,il9,NA,NA
KO,1,9,il9,NA,NA
WT,1,6,il9,NA,NA
WT,1,9,il9,NA,NA
WT,1,12,il9,81.885,1.913204353
WT,1,3,il9,76.355,1.882837481
KO,1,12,il9,74.64,1.872971631
KO,1,3,il9,47.365,1.675457542
WT,1,0,il9,35.105,1.545368977
KO,1,0,il9,0.3,-0.522878745
KO,1,9,blc,1022.965,3.009860775
WT,1,9,blc,894.69,2.951672583
WT,1,6,blc,762.655,2.882328122
KO,1,12,blc,482.485,2.683483816
KO,1,6,blc,289.68,2.461918512
WT,1,12,blc,163.925,2.214645192
WT,1,3,blc,19.315,1.285894712
KO,1,3,blc,13.435,1.128237671
WT,1,0,blc,10.765,1.032014034
KO,1,0,blc,4.385,0.641969598
KO,1,9,eotaxin,74.56,1.872505899
WT,1,9,eotaxin,66.89,1.825361196
WT,1,6,eotaxin,54.745,1.73834446
KO,1,12,eotaxin,44.68,1.650113164
KO,1,6,eotaxin,20.395,1.30952371
WT,1,0,eotaxin,13.95,1.144574208
KO,1,3,eotaxin,13.18,1.11991541
WT,1,3,eotaxin,10.99,1.040997692
WT,1,12,eotaxin,8.385,0.923503067
KO,1,0,eotaxin,4.785,0.679881942
WT,1,3,gmcsf,30.24,1.480581787
WT,1,6,gmcsf,14.715,1.167760266
KO,1,6,gmcsf,13.555,1.132099522
KO,1,3,gmcsf,11.8575,1.073993133
KO,1,0,gmcsf,11.3975,1.056809601
WT,1,0,gmcsf,10.2375,1.010193915
KO,1,9,gmcsf,6.455,0.809896247
KO,1,12,gmcsf,6.455,0.809896247
WT,1,9,gmcsf,6.455,0.809896247
WT,1,12,gmcsf,6.455,0.809896247
WT,1,3,ifnb,152.12,2.182186317
WT,1,6,ifnb,119.78,2.078384309
KO,1,6,ifnb,80.415,1.905337066
KO,1,3,ifnb,68.78,1.837462171
KO,1,9,ifnb,11.645,1.066139493
KO,1,0,ifnb,4.75,0.67669361
KO,1,12,ifnb,4.75,0.67669361
WT,1,0,ifnb,4.75,0.67669361
WT,1,9,ifnb,4.75,0.67669361
WT,1,12,ifnb,4.75,0.67669361
KO,1,6,ifng,781.045,2.892676057
KO,1,9,ifng,455.14,2.658145005
WT,1,9,ifng,173.015,2.238083757
WT,1,3,ifng,92.63,1.966751664
WT,1,6,ifng,65.225,1.814414088
KO,1,3,ifng,13.865,1.141919874
KO,1,12,ifng,11.03,1.042575512
WT,1,12,ifng,4.78,0.679427897
KO,1,0,ifng,0.42,-0.37675071
WT,1,0,ifng,0.42,-0.37675071
WT,1,9,il10,32.535,1.512350811
KO,1,9,il10,32.165,1.507383556
KO,1,6,il10,9.235,0.9654369
KO,1,3,il10,2.985,0.474944335
WT,1,6,il10,2.595,0.414137362
KO,1,12,il10,2.225,0.347330015
WT,1,0,il10,1.71,0.23299611
WT,1,3,il10,1.305,0.115610512
KO,1,0,il10,0.86,-0.065501549
WT,1,12,il10,0.86,-0.065501549
KO,1,12,il11,11.155,1.047469575
KO,1,0,il11,4.565,0.659440782
KO,1,3,il11,4.565,0.659440782
KO,1,6,il11,4.565,0.659440782
KO,1,9,il11,4.565,0.659440782
WT,1,0,il11,4.565,0.659440782
WT,1,3,il11,4.565,0.659440782
WT,1,6,il11,4.565,0.659440782
WT,1,9,il11,4.565,0.659440782
WT,1,12,il11,4.565,0.659440782
WT,1,6,il12p40,1004.43,3.001919676
KO,1,6,il12p40,641.455,2.807166195
WT,1,12,il12p40,462.23,2.664858129
KO,1,3,il12p40,430.215,2.633685549
WT,1,3,il12p40,349.965,2.544024613
KO,1,12,il12p40,292.315,2.465851102
WT,1,9,il12p40,144.26,2.159145928
KO,1,9,il12p40,134.36,2.128269995
KO,1,0,il12p40,81.525,1.911290807
WT,1,0,il12p40,65.64,1.817168572
KO,1,0,il12p70,2.21,0.344392274
KO,1,3,il12p70,2.21,0.344392274
KO,1,6,il12p70,2.21,0.344392274
KO,1,9,il12p70,2.21,0.344392274
KO,1,12,il12p70,2.21,0.344392274
WT,1,0,il12p70,2.21,0.344392274
WT,1,3,il12p70,2.21,0.344392274
WT,1,6,il12p70,2.21,0.344392274
WT,1,9,il12p70,2.21,0.344392274
WT,1,12,il12p70,2.21,0.344392274
WT,1,3,il13,2.245,0.351216345
KO,1,3,il13,1.6975,0.229809783
WT,1,9,il13,1.6975,0.229809783
WT,1,6,il13,1.6225,0.210184705
KO,1,0,il13,0.765,-0.116338565
KO,1,6,il13,0.765,-0.116338565
KO,1,9,il13,0.765,-0.116338565
KO,1,12,il13,0.765,-0.116338565
WT,1,0,il13,0.765,-0.116338565
WT,1,12,il13,0.765,-0.116338565
WT,1,3,il17a,3.79,0.57863921
KO,1,3,il17a,3.175,0.50174373
KO,1,6,il17a,2.12,0.326335861
WT,1,6,il17a,1.75,0.243038049
WT,1,12,il17a,1.345,0.128722284
WT,1,0,il17a,1.035,0.01494035
WT,1,9,il17a,0.91,-0.040958608
KO,1,9,il17a,0.895,-0.048176965
KO,1,12,il17a,0.87,-0.060480747
KO,1,0,il17a,0.7,-0.15490196
KO,1,3,il17f,1.7275,0.237418056
KO,1,0,il17f,0.445,-0.351639989
KO,1,6,il17f,0.445,-0.351639989
KO,1,9,il17f,0.445,-0.351639989
KO,1,12,il17f,0.445,-0.351639989
WT,1,0,il17f,0.445,-0.351639989
WT,1,3,il17f,0.445,-0.351639989
WT,1,6,il17f,0.445,-0.351639989
WT,1,9,il17f,0.445,-0.351639989
WT,1,12,il17f,0.445,-0.351639989
KO,1,3,il1a,128.825,2.110000151
WT,1,3,il1a,40.37,1.606058749
WT,1,6,il1a,32.155,1.507248514
KO,1,6,il1a,25.145,1.40045164
WT,1,9,il1a,7.885,0.896801698
KO,1,9,il1a,7.33,0.865103975
KO,1,0,il1a,2.685,0.42894429
KO,1,12,il1a,2.685,0.42894429
WT,1,0,il1a,2.685,0.42894429
WT,1,12,il1a,2.685,0.42894429
KO,1,0,il1b,9.385,0.972434277
KO,1,3,il1b,9.385,0.972434277
KO,1,6,il1b,9.385,0.972434277
KO,1,9,il1b,9.385,0.972434277
KO,1,12,il1b,9.385,0.972434277
WT,1,0,il1b,9.385,0.972434277
WT,1,3,il1b,9.385,0.972434277
WT,1,6,il1b,9.385,0.972434277
WT,1,9,il1b,9.385,0.972434277
WT,1,12,il1b,9.385,0.972434277
KO,1,6,il2,0.845,-0.073143291
KO,1,0,il2,0.31,-0.508638306
KO,1,3,il2,0.31,-0.508638306
KO,1,9,il2,0.31,-0.508638306
KO,1,12,il2,0.31,-0.508638306
WT,1,0,il2,0.31,-0.508638306
WT,1,3,il2,0.31,-0.508638306
WT,1,6,il2,0.31,-0.508638306
WT,1,9,il2,0.31,-0.508638306
WT,1,12,il2,0.31,-0.508638306
KO,1,0,il21,1.205,0.080987047
KO,1,3,il21,1.205,0.080987047
KO,1,6,il21,1.205,0.080987047
KO,1,9,il21,1.205,0.080987047
KO,1,12,il21,1.205,0.080987047
WT,1,0,il21,1.205,0.080987047
WT,1,3,il21,1.205,0.080987047
WT,1,6,il21,1.205,0.080987047
WT,1,9,il21,1.205,0.080987047
WT,1,12,il21,1.205,0.080987047
KO,1,3,il22,5.645,0.751663946
WT,1,3,il22,4.725,0.674401813
WT,1,6,il22,4.01,0.603144373
KO,1,6,il22,2.71,0.432969291
WT,1,9,il22,2.12,0.326335861
WT,1,12,il22,1.7,0.230448921
WT,1,0,il22,1.68,0.225309282
KO,1,9,il22,1.675,0.224014811
KO,1,12,il22,1.2,0.079181246
KO,1,0,il22,0.875,-0.057991947
WT,1,12,il23,7.265,0.861235619
KO,1,0,il23,5.175,0.713910354
KO,1,3,il23,4.195,0.622731965
WT,1,3,il23,2.77,0.442479769
WT,1,0,il23,2.45,0.389166084
KO,1,6,il23,1.59,0.201397124
KO,1,9,il23,1.59,0.201397124
KO,1,12,il23,1.59,0.201397124
WT,1,6,il23,1.59,0.201397124
WT,1,9,il23,1.59,0.201397124
WT,1,12,il27,9.445,0.975201962
KO,1,0,il27,5.29,0.723455672
KO,1,3,il27,5.29,0.723455672
KO,1,6,il27,5.29,0.723455672
KO,1,9,il27,5.29,0.723455672
KO,1,12,il27,5.29,0.723455672
WT,1,0,il27,5.29,0.723455672
WT,1,3,il27,5.29,0.723455672
WT,1,6,il27,5.29,0.723455672
WT,1,9,il27,5.29,0.723455672
KO,1,0,il3,1.485,0.171726454
KO,1,3,il3,1.485,0.171726454
KO,1,6,il3,1.485,0.171726454
KO,1,9,il3,1.485,0.171726454
KO,1,12,il3,1.485,0.171726454
WT,1,0,il3,1.485,0.171726454
WT,1,3,il3,1.485,0.171726454
WT,1,6,il3,1.485,0.171726454
WT,1,9,il3,1.485,0.171726454
WT,1,12,il3,1.485,0.171726454
WT,1,0,il33,20.29,1.307282047
KO,1,6,il33,7.59,0.880241776
KO,1,3,il33,6.24,0.79518459
KO,1,0,il33,1.695,0.229169703
KO,1,9,il33,1.695,0.229169703
KO,1,12,il33,1.695,0.229169703
WT,1,3,il33,1.695,0.229169703
WT,1,6,il33,1.695,0.229169703
WT,1,9,il33,1.695,0.229169703
WT,1,12,il33,1.695,0.229169703
KO,1,6,il4,1.68,0.225309282
WT,1,6,il4,1.18,0.071882007
KO,1,3,il4,0.98,-0.008773924
WT,1,0,il4,0.765,-0.116338565
WT,1,9,il4,0.58,-0.236572006
KO,1,0,il4,0.34,-0.468521083
KO,1,9,il4,0.34,-0.468521083
KO,1,12,il4,0.34,-0.468521083
WT,1,3,il4,0.34,-0.468521083
WT,1,12,il4,0.34,-0.468521083
KO,1,6,il5,13.85,1.141449773
WT,1,6,il5,12.525,1.097777735
KO,1,3,il5,6.63,0.821513528
WT,1,3,il5,3.51,0.545307116
KO,1,12,il5,2.68,0.428134794
WT,1,9,il5,1.625,0.210853365
KO,1,0,il5,0.97,-0.013228266
KO,1,9,il5,0.97,-0.013228266
WT,1,0,il5,0.97,-0.013228266
WT,1,12,il5,0.97,-0.013228266
WT,1,3,il6,572.17,2.757525083
KO,1,3,il6,509.85,2.707442424
WT,1,6,il6,471.725,2.673688893
KO,1,6,il6,404.32,2.606725225
KO,1,12,il6,90.725,1.957726977
KO,1,9,il6,71.2,1.852479994
WT,1,9,il6,32.485,1.511682871
WT,1,12,il6,19.9,1.298853076
KO,1,0,il6,0.755,-0.122053048
WT,1,0,il6,0.755,-0.122053048
WT,1,3,il7,4.815,0.682596291
KO,1,0,il7,3.495,0.54344718
WT,1,0,il7,2.1575,0.333950804
KO,1,3,il7,1.205,0.080987047
KO,1,6,il7,1.205,0.080987047
KO,1,9,il7,1.205,0.080987047
