Sample,V1,V2,V3,V4,V5,V6
1,185.5986033,5.587009963,-118.5063216,-8.767122395,62.80205402,3.256521844
2,38.6112266,-2.761784746,118.5306872,-18.05294547,-46.06282507,21.37310613
3,140.8144497,-6.448035814,133.6018168,12.22980121,32.13901643,-3.636814737
4,-71.10088149,-3.935544383,57.22286091,-5.737693377,-127.1186656,7.258238554
5,10.29167187,7.857931117,222.5239619,-0.339568388,-70.06996314,9.063710996
6,82.13973973,-4.63028394,318.5418064,-1.230936325,2.973153173,-18.3040225
7,229.1766745,3.701219222,273.9496233,-14.24559655,95.57062053,-13.63195408
8,6.655694396,-6.121999419,87.0282794,11.24508138,-68.19194723,-11.56875464
9,125.9517866,-4.534313004,71.08387895,-5.750734929,36.65757968,23.56971042
10,289.519883,-26.02464231,141.293031,0.236462136,116.3525191,-9.072279522
11,172.3189479,-7.883743376,100.5209647,-13.5255358,32.2769857,8.864850858
12,175.2996845,14.70760939,117.8823344,2.095133579,48.03968327,8.842335089
13,105.9543474,12.86693863,72.33482898,0.411093869,-4.548641851,-3.168389464
14,191.8721948,1.356270002,353.2789389,13.92671218,60.23772765,8.412610076
15,133.8437443,-0.588357011,75.21066515,6.780491955,18.29149764,-20.10535606
16,204.2057212,4.434715386,128.9247706,9.881581851,71.79050593,-2.572033913
17,49.16321035,9.882136495,107.2009315,14.28572263,-31.57158407,13.48184289
18,107.4154432,3.365735802,153.585477,2.146984337,9.952132783,-10.23819148
19,75.7945516,4.903924466,306.5928521,6.215103617,-29.28917017,4.502123448
20,122.1038376,-15.54415957,-70.98303301,-0.322015006,-4.573347781,-1.749632119
21,122.3482045,5.512502369,50.67079659,5.818594248,11.51214845,14.37011123
22,79.03065938,0.157055482,-45.79094258,4.808976241,-31.21016426,14.25066556
23,32.94345507,-14.5465206,96.9686277,11.12996977,-78.59196117,0.404065388
24,39.93408152,-14.02880864,-180.4337582,-5.943386834,-32.53732842,-3.523747487
25,174.3524146,-1.547188559,72.07777045,-2.164702657,44.89048406,-7.662489781
26,357.4845154,10.04482643,14.95527601,5.687420047,165.7182175,3.247757782
27,179.5485187,1.302629923,198.442005,15.4937694,49.01572846,1.142046849
28,98.45782232,-11.01751899,305.8890939,4.024154576,7.031080151,0.293524115
29,24.66165791,15.34818359,39.55252443,-14.69882232,-44.74395129,0.864071548
30,-53.92420993,-0.143509918,270.0029256,-10.94412267,-110.4929022,17.02729131
31,190.7580405,-15.67916532,-128.6436085,2.752084856,71.06774788,-5.112649258
32,243.6101802,-2.189567822,-221.653196,1.129570021,74.69291973,6.011741729
33,-21.28350241,7.614376328,245.9842542,22.0413255,-72.63712784,3.996732346
34,2.11340284,11.5946051,198.885329,19.31494223,-68.30958657,-5.671765949
35,97.47395616,26.31978461,120.1486838,-3.097636375,14.80772851,16.07026903
36,118.6419247,-23.56148175,105.1659731,-7.642435394,15.24981726,15.52273601
37,111.7310504,-24.44689981,159.5210495,-10.31179463,0.792821124,-17.83437261
38,361.7383747,8.943282921,149.7100222,4.351437767,170.6404585,2.910789473
39,38.93410016,8.165245488,92.5364798,8.187347728,-54.39879567,-7.445451419
40,233.6521012,5.020329285,156.9279216,-26.18619371,89.81080967,-0.583392134
41,100.329894,-8.404611005,186.8083021,8.160731978,9.741921269,12.19481795
42,167.8054031,-8.370859101,254.9465863,-2.398235636,46.47769964,3.087387843
43,234.9847443,-9.697821112,-88.86987181,-15.30808313,86.84559427,7.642218838
44,315.1098829,-13.96717667,253.7732557,0.195030775,167.3388858,-27.29989564
45,-26.33239989,3.449392755,122.0891173,-9.117634674,-98.99262707,-5.60569022
46,324.3670103,20.69874055,-213.6783087,-10.09819743,156.653042,-13.42525023
47,201.6712486,20.59029664,251.9893908,13.86687436,90.52534174,-10.09466371
48,149.4970325,-4.902919072,122.4810791,2.195129741,25.04906105,0.210245982
49,217.9373616,-3.07701894,217.8496929,12.78095432,74.45709596,16.72306253
50,-120.6554781,0.705698197,164.5847447,1.276203314,-171.5214172,3.686262375
51,20.05419831,0.28508017,25.54911706,21.77179734,-78.34051054,-14.62334353
52,76.95727194,4.335147919,149.2239333,31.25750127,2.915957935,13.35250795
53,67.21605272,29.89260746,275.5562184,-6.059853344,-39.100225,13.78191698
54,383.1055624,8.064583711,160.6263887,9.008960625,177.9511482,-1.854443091
55,71.77097238,2.446215491,74.68943246,-1.67922952,-32.32831291,-1.242014539
56,141.2150194,-1.138138081,148.1288416,-5.736314088,9.593219574,0.704791115
57,218.421317,8.675621242,339.2952854,8.912885907,77.20799386,1.021738558
58,-38.10933951,-9.743463215,87.79284285,-17.68568411,-117.3845239,-18.3909168
59,63.70224338,-0.611748596,11.61314202,-6.127985939,-14.35704118,-9.429353561
60,135.5513813,-17.87693131,-141.7836921,2.070091714,15.00666193,-4.687388221
61,180.2138208,-10.8162071,67.25807178,-6.202484235,59.35501949,4.440182259
62,-16.90519366,5.93285753,207.9599407,-5.50262184,-77.03633287,8.982301986
63,153.7088942,1.525876471,85.52539213,4.886180839,21.61082128,2.089659317
64,207.1268006,-5.771685691,-187.7295276,8.82720152,64.4308686,-7.037880402
65,210.4833695,5.18859618,105.8459244,-12.4805519,79.74259651,-13.67588094
66,117.2328495,-8.747781901,20.16484931,-9.983780097,7.017563445,12.3396705
67,145.7693061,13.46307338,228.7938488,-11.59854551,30.67871461,0.387608596
68,66.2050283,-22.94588247,75.31408977,-11.18325276,-25.76214822,-6.264996814
69,-2.720027673,-4.448438916,236.8173096,-5.587925529,-97.51471653,0.550878517
70,190.0644715,-8.742692921,89.04029782,4.473903772,38.05850688,-12.50022621
71,58.10123301,19.61886574,152.86571,3.879034214,-26.61523433,17.54241771
72,-27.78657484,18.00901871,152.3294345,26.12959675,-97.26371608,-25.02626266
73,29.97308698,-1.451810617,-39.36655839,-12.47565985,-51.20417334,10.70643947
74,322.2318798,-13.75156132,82.37754973,2.352510281,137.5939718,0.540072276
75,-3.076017288,9.928871244,-105.4135645,-4.314944636,-59.45992322,2.513250211
76,24.76850551,-19.46516977,180.8011757,0.566222122,-49.68088189,-4.148029481
77,-49.04321828,-6.852054334,-25.80831138,24.20711005,-102.1154055,-15.29185968
78,179.4818462,-3.18405245,-44.57052907,-0.559826303,39.61964614,10.07877694
79,114.969393,14.91272626,189.8135207,-5.891832152,8.077577093,-9.325519556
80,157.1311854,9.584020823,87.49063991,6.985772558,43.06372095,22.49873082
81,-37.94460197,19.28370717,262.2219075,8.286404714,-99.44343982,-22.6462649
82,4.554224116,-15.76929744,-5.744263292,3.171807365,-59.86883932,-5.281198956
83,190.6120889,2.559549899,-157.3830222,-23.87577097,48.21114856,-6.713868305
84,-22.67198315,14.10190821,18.74527993,-12.56703325,-90.06002654,-4.006469213
85,191.5414732,-6.444472627,25.33428212,-20.10119836,58.3714464,12.37512221
